1,アライズ5
2,イエス教日本世界宣教会
3,イエス・キリスト福音の群
4,イエス福音教団
5,活けるキリスト一麦教会
6,イムマヌエル綜合伝道団
7,インターナショナル・チャペル・ミニストリーズ
8,インターナショナル・フルゴスペル・フェローシップ
9,インドネシア福音教会
10,ウェスレアン・ホーリネス教団
11,栄光の福音キリスト教団
12,エバンジェリカル・コングリゲーショナル・チャーチジャパン
13,エブリネイションチャーチズジャパン
14,沖縄バプテスト連盟
15,活水基督教団
16,神の家族キリスト教会
17,カルバリーチャペルグループ
18,カルバリーチャペル ミニストリー JAPAN
19,カルバリー・バプテスト
20,関西福音交友会
21,カンバーランド長老キリスト教会
22,九州キリスト福音フェローシップ
23,救世軍
24,キリスト改革派日本伝道会
25,基督教カナン教団
26,キリスト教ガリラヤ福音教団
27,キリスト教国際福音教団
28,基督兄弟団
29,キリスト信徒の集会
30,基督聖協団
31,キリスト伝道隊
32,基督伝道隊
33,キリスト伝道団
34,キリスト同信会
35,キリストの教会
36,キリスト友会日本年会
37,近畿福音ルーテル教会
38,クリスター日本宣教団体
39,クリスチャンズ・イン・アクション宣教団
40,クリスチャン・ライフ・チャーチズ・インターナショナル
41,グレース宣教会
42,KPCA日本老会
43,コイノニア福音グループ
44,国際基督教団
45,国際福音宣教会
46,在外国教団教派
47,在日基督教大韓監理会
48,在日スエーデン東洋福音伝道団
49,在日大韓基督教会
50,札幌キリスト召団
51,サンビ教団
52,ジーザス・クライスト・ミニストリーズ
53,ライフハウス インターナショナル チャーチ
54,シオン・キリスト教団
55,シオン・クリスチャン・フェロシップ
56,シオン宣教団
57,ジャパン・ベサニー・ミッション
58,主の十字架クリスチャンセンター
59,勝利教会グループ
60,新生キリスト教会連合
61,スウェーデン同盟キリスト教団
62,聖イエス会
63,聖書教会連盟
64,聖書キリスト教会
65,聖書研究会
66,聖書宣教教会
67,聖書友の会
68,聖成基督教団
69,正統長老教会日本ミッション
70,世界福音伝道会
71,セブンスデー・アベンチスト
72,センド国際宣教団
73,全日本バプテスト・ミド・ミッション
74,大韓イエス教長老会
75,単立ペンテコステ教会フェローシップ
76,チャーチオブクライストニュージーランド日本
77,チャーチ・オブ・ゴッド
78,超教派ブレザレン教会
79,デフ聖書バプテスト教会
80,東京地区メノナイト教会連合
81,東京中央教会
82,東京フリー・メソジスト教団
83,東京ホライズンチャペル
84,同盟福音基督教会
85,東洋宣教団きよめキリスト教会
86,東洋福音教団
87,東洋ローア・キリスト伝道教会
88,トータル・クリスチャン・チャーチ・グループ
89,西日本福音ルーテル教会
90,日本聖公会
91,日本アッセンブリーズ・オブ・ゴッド教団
92,日本アドベント・キリスト教団
93,日本アライアンス教団
94,日本アライアンス・ミッション
95,日本イエス・キリスト教団
96,日本ヴィンヤード・クリスチャン・フェローシップ
97,日本オープン・バイブル教団
98,日本華僑基督教団
99,日本神の教会連盟
100,日本基督会
101,日本キリスト改革長老教会
102,日本キリスト改革派教会
103,日本キリスト教会
104,日本基督教団
105,日本キリスト兄弟団
106,日本キリスト合同教会
107,日本キリスト宣教団
108,日本使徒キリスト教会
109,日本自由福音教団
110,日本自由メソヂスト教団
111,日本聖契キリスト教団
112,日本聖泉基督教会連合
113,日本聖約キリスト教団
114,日本宣教会
115,日本チャーチオブゴッド教団
116,日本長老教会
117,日本伝道隊
118,日本伝道福音教団
119,日本同盟基督教団
120,日本ナザレン教団
121,日本ネクスト・タウンズ・ミッション
122,日本バプテスト教会連合
123,日本バプテスト宣教団
124,日本バプテスト同盟
125,日本バプテスト・バイブル・フェローシップ
126,日本バプテスト連合
127,日本バプテスト連盟
128,日本フォースクエア福音教団
129,日本福音教会
130,日本福音教会連合
131,日本福音教団
132,日本福音キリスト教会連合
133,日本福音キリスト教会連合各地区友好
134,日本福音基督教団
135,日本福音自由教会協議会
136,日本福音宣教会
137,日本福音宣教団
138,日本福音ペンテコステ教団
139,日本福音ルーテル教会
140,日本フリーメソジスト教団
141,日本フルゴスペル教団
142,日本ベテスダ教団
143,日本ベテル・ミッション
144,日本ペンテコステ教団
145,日本ホーリネス教団
146,日本メノナイト・キリスト教会会議
147,日本メノナイト・キリスト教会協議会
148,日本メノナイトブレザレン教団
149,日本リバイバル連盟
150,日本ルーテル教団
151,日本ルーテル同胞教団
152,日本ローア・バプテスト・フェローシップ
153,ニューファウンテン教団
154,ニューホープ・インターナショナル・アジア・ジャパン
155,ニューライフ・ミニストリーズ
156,ハーベスト・インターナショナル・ミニストリーズ
157,バイブル・プロテスタント基督教会
158,FELLOWSHIP OF INNER CITY WORD OF FAITH MINISTRIES
159,フェローシップ・ディコンリー福音教団
160,福音交友会
161,福音伝道教団
162,福音バプテスト宣教団
163,福音バプテスト連合
164,復活之キリスト教団
165,ベタニヤ・クリスチャン・アッセンブリーズ
166,保守バプテスト同盟
167,ミッション・オブ・ジーザス・ディサイプル教団
168,ミッション東北
169,美濃ミッション
170,無教会主義集会
171,友愛グループ
172,リーベンゼラ日本宣教団
173,ルーテル福音キリスト教会
174,ワールドミッション教団
175,PAZキリスト宣教団
176,単立/独立
